,0
0,2
1,2
2,1
3,2
4,1
5,2
6,1
7,2
8,1
9,2
10,1
11,0
12,0
13,1
14,2
15,0
16,2
17,2
18,0
19,0
20,0
21,1
22,2
23,1
24,2
25,0
26,1
27,1
28,0
29,1
30,1
31,2
32,1
33,2
34,2
35,0
36,2
37,1
38,0
39,0
40,0
41,0
42,0
43,2
44,0
45,2
46,1
47,1
48,0
49,1
50,0
51,2
52,1
53,0
54,0
55,0
56,1
57,0
58,2
59,1
60,1
61,2
62,0
63,2
64,2
65,2
66,2
67,0
68,2
69,1
70,2
71,1
72,2
73,2
74,0
75,2
76,0
77,1
78,2
79,1
80,1
81,0
82,0
83,2
84,1
85,1
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,2
97,0
98,1
99,1
100,2
101,0
102,1
103,1
104,2
105,0
106,1
107,0
108,1
109,2
110,1
111,1
112,0
113,0
114,0
115,1
116,2
117,2
118,0
119,2
120,0
121,1
122,0
123,0
124,1
125,2
126,2
127,2
128,1
129,0
130,0
131,2
132,0
133,1
134,2
135,2
136,1
137,0
138,2
139,1
140,0
141,2
142,1
143,2
144,2
145,0
146,1
147,2
148,2
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,0
157,2
158,1
159,1
160,2
161,1
162,1
163,1
164,1
165,2
166,2
167,1
168,1
169,0
170,2
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,2
182,1
183,1
184,0
185,2
186,0
187,2
188,2
189,2
190,2
191,1
192,0
193,2
194,2
195,0
196,2
197,1
198,0
199,2
200,1
201,0
202,2
203,0
204,0
205,1
206,1
207,0
208,2
209,2
210,2
211,2
212,1
213,2
214,1
215,0
216,2
217,2
218,1
219,1
220,2
221,1
222,2
223,1
224,0
225,2
226,2
227,1
228,2
229,2
230,2
231,2
232,2
233,2
234,1
235,1
236,2
237,0
238,1
239,2
240,0
241,1
242,2
243,2
244,1
245,1
246,2
247,2
248,1
249,1
250,2
251,1
252,0
253,2
254,2
255,2
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,2
264,0
265,1
266,2
267,1
268,0
269,1
270,1
271,2
272,0
273,0
274,1
275,2
276,2
277,1
278,0
279,1
280,2
281,2
282,0
283,2
284,2
285,0
286,2
287,1
288,0
289,0
290,0
291,0
292,0
293,2
294,1
295,2
296,0
297,2
298,1
299,0
300,2
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,2
309,1
310,2
311,2
312,1
313,1
314,0
315,2
316,2
317,2
318,0
319,1
320,2
321,1
322,1
323,0
324,0
325,2
326,1
327,0
328,2
329,1
330,1
331,0
332,0
333,1
334,2
335,2
336,2
337,1
338,0
339,1
340,1
341,2
342,1
343,0
344,1
345,2
346,1
347,0
348,0
349,2
350,0
351,0
352,0
353,0
354,2
355,0
356,0
357,0
358,2
359,0
360,1
361,1
362,0
363,1
364,0
365,2
366,1
367,0
368,2
369,2
370,1
371,1
372,2
373,2
374,0
375,2
376,0
377,1
378,0
379,1
380,2
381,2
382,0
383,2
384,2
385,0
386,1
387,1
388,1
389,1
390,2
391,0
392,2
393,1
394,0
395,2
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,2
405,1
406,0
407,0
408,2
409,0
410,2
411,2
412,2
413,0
414,0
415,2
416,2
417,2
418,1
419,0
420,0
421,0
422,2
423,0
424,0
425,1
426,1
427,2
428,1
429,0
430,0
431,1
432,0
433,2
434,0
435,0
436,2
437,0
438,1
439,1
440,2
441,2
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,2
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,1
459,2
460,2
461,1
462,2
463,0
464,0
465,0
466,2
467,0
468,1
469,0
470,2
471,0
472,2
473,0
474,1
475,0
476,2
477,1
478,1
479,0
480,1
481,2
482,0
483,2
484,1
485,1
486,0
487,2
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,2
500,2
501,1
502,2
503,1
504,1
505,0
506,1
507,0
508,0
509,2
510,0
511,0
512,1
513,0
514,0
515,2
516,1
517,0
518,1
519,1
520,2
521,0
522,2
523,2
524,0
525,0
526,0
527,1
528,2
529,1
530,1
531,1
532,1
533,0
534,2
535,1
536,1
537,1
538,2
539,1
540,2
541,2
542,2
543,2
544,1
545,1
546,2
