,0
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,2
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,2
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,2
35,1
36,1
37,0
38,0
39,2
40,1
41,1
42,1
43,2
44,0
45,0
46,1
47,1
48,2
49,1
50,1
51,0
52,2
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,0
61,2
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,2
83,1
84,2
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,2
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,2
106,2
107,1
108,1
109,0
110,0
111,1
112,2
113,0
114,1
115,2
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,2
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,2
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,2
145,1
146,1
147,0
148,1
149,1
150,2
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,2
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,0
188,1
189,2
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,2
199,1
200,2
201,1
202,1
203,1
204,2
205,1
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,2
217,1
218,2
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,2
244,1
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,2
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,2
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,2
324,0
325,1
326,1
327,2
328,1
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,2
344,1
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,2
359,1
360,1
361,1
362,1
363,2
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,2
373,1
374,1
375,1
376,2
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,2
396,2
397,0
398,0
399,1
400,1
401,2
402,1
403,1
404,0
405,2
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,1
428,2
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,2
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,2
446,0
447,0
448,2
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,2
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,0
497,1
498,2
499,0
500,1
501,0
502,1
503,2
504,1
505,0
506,1
507,1
508,0
509,1
510,1
511,0
512,2
513,2
514,0
515,1
516,1
517,1
518,2
519,2
520,0
521,1
522,2
523,0
524,1
525,1
526,1
527,2
528,1
529,1
530,1
531,1
532,0
533,1
534,2
535,1
536,0
537,1
538,1
539,0
540,0
541,0
542,2
543,1
544,0
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,2
561,1
562,1
563,1
564,1
565,1
566,0
567,0
568,2
569,0
570,1
571,1
572,0
573,1
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,1
583,1
584,0
585,0
586,1
587,2
588,0
589,0
590,2
591,1
592,0
593,0
594,2
595,1
596,1
597,0
598,2
599,0
600,1
601,2
602,1
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,1
611,1
612,0
613,1
614,2
615,1
616,1
617,1
618,1
619,1
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,1
629,1
630,1
631,0
632,0
633,1
634,1
635,1
636,1
637,0
638,0
639,2
640,1
641,0
642,1
643,1
644,0
645,0
646,1
647,1
648,0
649,1
650,0
651,2
652,1
653,0
654,1
655,1
656,1
657,0
658,2
659,0
660,1
661,0
662,1
663,1
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,2
673,0
674,1
675,0
676,0
677,1
678,0
679,1
680,2
681,1
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,0
694,0
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,0
704,2
705,1
706,1
707,2
708,0
709,1
710,2
711,0
712,1
713,0
714,1
715,1
716,2
717,0
718,0
719,1
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,2
733,1
734,1
735,1
736,0
737,0
738,1
739,0
740,0
741,2
742,1
743,1
744,1
745,1
746,1
747,0
748,1
749,1
750,0
751,1
752,1
753,1
754,0
755,0
756,2
757,0
758,0
759,2
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,2
768,0
769,1
770,0
771,2
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,0
